Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6497.7508,0.1266,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6497.8381,0.0523,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6497.9254,0.0246,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0126,0.0898,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0998,0.0041,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.1870,0.0030,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.2742,0.0017,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3613,-0.0063,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.4484,0.0030,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.5355,-0.0099,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6225,0.0476,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7095,-0.0052,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7965,0.1280,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.8834,0.0580,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9704,0.0549,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.0573,0.0601,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.1441,0.0189,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.2309,-0.0886,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.3178,0.0263,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4045,0.1554,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4913,-0.0111,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5780,0.0025,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.6647,0.1443,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.7513,-0.0008,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8380,-0.0300,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.9246,0.0023,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0111,0.1682,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.0977,0.0791,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.1842,-0.0084,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.2707,0.0305,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.3571,-0.0200,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.4435,-0.0305,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.5299,0.0563,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.6163,0.0902,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.7026,0.0822,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.7889,-0.0384,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6500.8752,0.0063,0.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
