Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6497.9673,0.0238,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6497.9673,0.0238,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0100,0.0493,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0100,0.0493,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0527,0.0649,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0527,0.0649,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0954,0.0664,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.0954,0.0664,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.1381,0.0585,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.1381,0.0585,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.1808,0.0418,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.1808,0.0418,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.2235,0.0716,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.2235,0.0716,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.2662,0.0727,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.2662,0.0727,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3089,0.0437,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3089,0.0437,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3516,0.0609,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3516,0.0609,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3943,0.0472,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3943,0.0472,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.4370,0.0400,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.4370,0.0400,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.4797,0.0463,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.4797,0.0463,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.5223,0.0674,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.5223,0.0674,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.5650,0.0444,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.5650,0.0444,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6076,0.0898,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6076,0.0898,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6503,0.0647,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6503,0.0647,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6929,0.0656,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6929,0.0656,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7356,0.0783,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7356,0.0783,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7782,0.0650,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7782,0.0650,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.8209,0.0677,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.8209,0.0677,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.8635,0.0856,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.8635,0.0856,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9061,0.0546,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9061,0.0546,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9487,0.0653,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9487,0.0653,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9913,0.0608,0.0475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
