Wavelength,Flux,Continuum_Model,HeII_6527_Model,Raman_HeII_6545_Model,He_6560_Model,Ha_6563_Model,NII_6548_1_Model,NII_6548_2_Model
6498.1063,0.0025,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.1917,0.0701,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.2771,0.0385,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.3624,0.0220,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.4478,0.0136,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.5331,0.0255,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.6184,0.0225,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7036,0.0049,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.7889,0.0051,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.8741,0.1547,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6498.9593,0.0307,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.0445,0.0436,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.1297,0.0203,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.2148,0.0458,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.2999,0.0092,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.3851,0.0011,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.4701,0.0190,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.5552,0.0021,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.6402,0.0063,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.7253,0.0485,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8103,-0.0047,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6499.8952,-0.0167,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
